<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.19	1.10924	1.11137	1.10760	1.10778	40733	0	2
2019.08.20	1.10773	1.11067	1.10654	1.10998	49251	0	2
2019.08.21	1.10989	1.11070	1.10800	1.10845	51378	0	1
2019.08.22	1.10844	1.11131	1.10635	1.10799	52243	0	2
2019.08.23	1.10798	1.11531	1.10515	1.11386	78903	0	2
2019.08.26	1.11496	1.11639	1.10942	1.11018	106111	0	2
2019.08.27	1.11018	1.11158	1.10856	1.10901	69606	0	1
2019.08.28	1.10901	1.10978	1.10732	1.10770	66205	0	1
2019.08.29	1.10770	1.10932	1.10420	1.10563	69444	0	1
2019.08.30	1.10563	1.10602	1.09630	1.09893	68588	0	1
2019.09.02	1.09899	1.09965	1.09579	1.09696	42316	0	1
2019.09.03	1.09658	1.09787	1.09257	1.09733	79803	0	1
2019.09.04	1.09737	1.10383	1.09684	1.10348	62939	0	1
2019.09.05	1.10348	1.10846	1.10167	1.10340	71471	0	1
2019.09.06	1.10340	1.10571	1.10202	1.10245	65458	0	1
2019.09.09	1.10256	1.10680	1.10154	1.10477	48319	0	1
2019.09.10	1.10474	1.10593	1.10304	1.10432	41989	0	1
2019.09.11	1.10430	1.10555	1.09851	1.10102	38930	0	1
2019.09.12	1.10102	1.10870	1.09267	1.10643	66013	0	1
2019.09.13	1.10643	1.11094	1.10553	1.10697	51145	0	1
2019.09.16	1.10720	1.10863	1.09932	1.10003	47575	0	1
2019.09.17	1.09998	1.10745	1.09902	1.10725	50330	0	1
2019.09.18	1.10723	1.10756	1.10136	1.10299	47198	0	1
2019.09.19	1.10298	1.10734	1.10227	1.10408	50700	0	1
2019.09.20	1.10408	1.10675	1.09962	1.10187	48550	0	1
2019.09.23	1.10120	1.10253	1.09660	1.09925	47909	0	1
2019.09.24	1.09927	1.10239	1.09837	1.10193	47238	0	1
2019.09.25	1.10192	1.10228	1.09373	1.09419	50810	0	1
2019.09.26	1.09415	1.09673	1.09087	1.09198	46381	0	1
2019.09.27	1.09201	1.09586	1.09038	1.09411	45322	0	1
2019.09.30	1.09403	1.09476	1.08846	1.08991	40582	0	1
2019.10.01	1.08991	1.09427	1.08790	1.09317	49761	0	1
2019.10.02	1.09311	1.09635	1.09042	1.09590	46807	0	1
2019.10.03	1.09584	1.09992	1.09409	1.09630	52978	0	1
2019.10.04	1.09630	1.09983	1.09569	1.09772	50379	0	1
2019.10.07	1.09790	1.10006	1.09618	1.09704	38536	0	1
2019.10.08	1.09703	1.09959	1.09411	1.09560	50286	0	1
2019.10.09	1.09560	1.09901	1.09514	1.09710	38973	0	1
2019.10.10	1.09704	1.10338	1.09697	1.10050	55426	0	1
2019.10.11	1.10049	1.10627	1.10008	1.10360	61821	0	1
2019.10.14	1.10314	1.10427	1.10126	1.10251	35303	0	1
2019.10.15	1.10252	1.10460	1.09912	1.10320	52741	0	1
2019.10.16	1.10319	1.10854	1.10225	1.10710	55732	0	1
2019.10.17	1.10710	1.11398	1.10650	1.11234	53064	0	1
2019.10.18	1.11236	1.11702	1.11146	1.11689	40254	0	1
2019.10.21	1.11604	1.11793	1.11387	1.11487	36175	0	1
2019.10.22	1.11487	1.11568	1.11176	1.11243	37361	0	1
2019.10.23	1.11242	1.11402	1.11061	1.11297	30632	0	1
2019.10.24	1.11296	1.11626	1.10930	1.11037	41432	0	1
2019.10.25	1.11036	1.11228	1.10729	1.10794	27730	0	1
2019.10.28	1.10788	1.11065	1.10760	1.10994	26754	0	1
2019.10.29	1.10994	1.11184	1.10735	1.11118	30581	0	1
2019.10.30	1.11117	1.11533	1.10800	1.11516	43735	0	1
2019.10.31	1.11516	1.11756	1.11314	1.11514	43509	0	1
2019.11.01	1.11514	1.11718	1.11281	1.11648	35007	0	1
2019.11.04	1.11687	1.11753	1.11247	1.11272	30537	0	1
2019.11.05	1.11269	1.11401	1.10634	1.10742	41380	0	1
2019.11.06	1.10742	1.10927	1.10649	1.10658	31859	0	1
2019.11.07	1.10658	1.10915	1.10361	1.10497	45912	0	1
2019.11.08	1.10492	1.10553	1.10166	1.10189	33030	0	1
2019.11.11	1.10185	1.10430	1.10164	1.10323	23325	0	1
2019.11.12	1.10323	1.10385	1.10025	1.10088	31441	0	1
2019.11.13	1.10089	1.10202	1.09953	1.10053	34467	0	1
2019.11.14	1.10052	1.10273	1.09890	1.10212	32577	0	1
2019.11.15	1.10212	1.10567	1.10145	1.10515	27792	0	1
2019.11.18	1.10510	1.10899	1.10477	1.10718	28482	0	1
2019.11.19	1.10718	1.10838	1.10624	1.10780	26644	0	1
2019.11.20	1.10777	1.10813	1.10530	1.10723	34131	0	1
2019.11.21	1.10723	1.10969	1.10521	1.10581	31829	0	1
2019.11.22	1.10580	1.10875	1.10144	1.10182	32645	0	1
2019.11.25	1.10151	1.10320	1.10035	1.10126	27995	0	1
2019.11.26	1.10129	1.10255	1.10072	1.10194	28638	0	1
2019.11.27	1.10194	1.10246	1.09923	1.09989	29482	0	1
2019.11.28	1.09987	1.10178	1.09986	1.10075	20746	0	1
2019.11.29	1.10071	1.10282	1.09810	1.10152	27604	0	1
2019.12.02	1.10241	1.10910	1.10029	1.10784	31480	0	1
2019.12.03	1.10782	1.10934	1.10658	1.10809	32021	0	1
2019.12.04	1.10809	1.11161	1.10667	1.10775	35509	0	1
2019.12.05	1.10772	1.11079	1.10771	1.11042	27845	0	1
2019.12.06	1.11042	1.11097	1.10396	1.10595	27888	0	1
2019.12.09	1.10574	1.10779	1.10533	1.10635	21381	0	1
2019.12.10	1.10635	1.10976	1.10627	1.10919	27293	0	1
2019.12.11	1.10914	1.11447	1.10701	1.11294	33856	0	1
2019.12.12	1.11294	1.11541	1.11030	1.11286	44761	0	1
2019.12.13	1.11294	1.11993	1.11032	1.11173	63101	0	1
2019.12.16	1.11259	1.11580	1.11226	1.11434	30624	0	1
2019.12.17	1.11435	1.11745	1.11291	1.11487	35410	0	1
2019.12.18	1.11483	1.11541	1.11102	1.11127	31490	0	1
2019.12.19	1.11126	1.11442	1.11072	1.11204	34743	0	1
2019.12.20	1.11201	1.11246	1.10662	1.10751	29734	0	1
2019.12.23	1.10750	1.10958	1.10698	1.10895	29202	0	1
2019.12.24	1.10895	1.10939	1.10690	1.10851	22030	0	1
2019.12.26	1.10900	1.11088	1.10820	1.10974	10530	0	1
2019.12.27	1.10973	1.11882	1.10940	1.11760	36676	0	1
2019.12.30	1.11754	1.12206	1.11713	1.11985	36372	0	1
2019.12.31	1.11985	1.12392	1.11976	1.12171	32435	0	1
2020.01.02	1.12132	1.12143	1.11635	1.11722	30404	0	1
2020.01.03	1.11722	1.11797	1.11250	1.11558	39449	0	1
2020.01.06	1.11646	1.12054	1.11571	1.11968	32448	0	1
2020.01.07	1.11960	1.11975	1.11335	1.11526	35909	0	1
2020.01.08	1.11529	1.11681	1.11016	1.11053	50619	0	1
2020.01.09	1.11053	1.11203	1.10923	1.11051	32024	0	1
2020.01.10	1.11051	1.11291	1.10850	1.11212	30181	0	1
2020.01.13	1.11162	1.11469	1.11127	1.11338	25932	0	1
2020.01.14	1.11338	1.11444	1.11042	1.11274	31762	0	1
2020.01.15	1.11284	1.11633	1.11185	1.11495	29102	0	1
2020.01.16	1.11492	1.11726	1.11278	1.11358	30453	0	1
2020.01.17	1.11352	1.11425	1.10862	1.10893	28089	0	1
2020.01.20	1.10920	1.11024	1.10766	1.10944	18552	0	1
2020.01.21	1.10934	1.11180	1.10809	1.10819	29051	0	1
2020.01.22	1.10816	1.10983	1.10701	1.10920	30270	0	1
2020.01.23	1.10920	1.11087	1.10363	1.10542	37577	0	1
2020.01.24	1.10542	1.10617	1.10196	1.10255	32850	0	1
2020.01.27	1.10295	1.10375	1.10096	1.10184	33777	0	1
2020.01.28	1.10185	1.10251	1.09977	1.10220	28331	0	1
2020.01.29	1.10219	1.10277	1.09922	1.10099	28043	0	1
2020.01.30	1.10098	1.10393	1.10068	1.10312	34415	0	1
2020.01.31	1.10313	1.10951	1.10168	1.10943	37949	0	1
2020.02.03	1.10907	1.10927	1.10349	1.10593	35264	0	1
2020.02.04	1.10590	1.10642	1.10327	1.10434	32443	0	1
2020.02.05	1.10436	1.10478	1.09935	1.09989	33576	0	1
2020.02.06	1.09989	1.10138	1.09643	1.09827	29014	0	1
2020.02.07	1.09827	1.09849	1.09418	1.09430	38494	0	1
2020.02.10	1.09424	1.09574	1.09076	1.09105	28211	0	1
2020.02.11	1.09105	1.09247	1.08912	1.09145	30977	0	1
2020.02.12	1.09146	1.09255	1.08651	1.08728	31063	0	1
2020.02.13	1.08716	1.08887	1.08339	1.08408	34413	0	1
2020.02.14	1.08408	1.08612	1.08272	1.08301	29198	0	1
2020.02.17	1.08397	1.08509	1.08291	1.08346	21012	0	1
2020.02.18	1.08345	1.08372	1.07852	1.07907	34567	0	1
2020.02.19	1.07906	1.08117	1.07821	1.08039	33315	0	1
2020.02.20	1.08033	1.08211	1.07775	1.07838	40984	0	1
2020.02.21	1.07841	1.08634	1.07835	1.08474	40454	0	1
2020.02.24	1.08250	1.08720	1.08049	1.08520	54843	0	1
2020.02.25	1.08519	1.08901	1.08300	1.08806	60638	0	1
2020.02.26	1.08806	1.09087	1.08549	1.08807	60645	0	1
2020.02.27	1.08812	1.10066	1.08771	1.09998	76238	0	1
2020.02.28	1.09998	1.10531	1.09508	1.10293	97598	0	1
2020.03.02	1.10407	1.11845	1.10362	1.11332	86124	0	1
2020.03.03	1.11314	1.12130	1.10951	1.11710	80800	0	1
2020.03.04	1.11707	1.11875	1.10953	1.11336	63822	0	1
2020.03.05	1.11340	1.12447	1.11195	1.12371	60736	0	1
2020.03.06	1.12370	1.13546	1.12113	1.12901	94001	0	1
2020.03.09	1.13469	1.14964	1.13397	1.14358	187327	0	1
2020.03.10	1.14358	1.14574	1.12743	1.12905	190339	0	8
2020.03.11	1.12905	1.13662	1.12500	1.12607	129097	0	1
2020.03.12	1.12602	1.13332	1.10554	1.11667	172884	0	1
2020.03.13	1.11686	1.12211	1.10549	1.11025	168062	0	0
2020.03.16	1.11886	1.12364	1.10846	1.11777	205632	0	0
2020.03.17	1.11777	1.11890	1.09550	1.10052	177869	0	0
2020.03.18	1.10061	1.10450	1.08016	1.09116	201942	0	0
2020.03.19	1.09117	1.09817	1.06541	1.06589	219504	0	0
2020.03.20	1.06614	1.08309	1.06375	1.06935	244937	0	0
2020.03.23	1.06937	1.08274	1.06355	1.07257	220916	0	0
2020.03.24	1.07226	1.08880	1.07226	1.07825	171445	0	0
2020.03.25	1.07823	1.08939	1.07601	1.08796	168158	0	0
2020.03.26	1.08797	1.10586	1.08700	1.10291	149438	0	0
2020.03.27	1.10290	1.11470	1.09533	1.11431	139186	0	0
2020.03.30	1.11159	1.11439	1.10099	1.10427	109850	0	0
2020.03.31	1.10414	1.10537	1.09266	1.10349	132367	0	0
2020.04.01	1.10299	1.10390	1.09027	1.09616	102809	0	0
2020.04.02	1.09619	1.09678	1.08205	1.08568	104632	0	0
2020.04.03	1.08550	1.08641	1.07727	1.08127	93640	0	0
2020.04.06	1.08088	1.08354	1.07682	1.07920	94909	0	0
2020.04.07	1.07920	1.09259	1.07834	1.08904	89461	0	0
2020.04.08	1.08903	1.09020	1.08298	1.08565	78664	0	0
2020.04.09	1.08559	1.09515	1.08409	1.09285	82410	0	0
2020.04.10	1.09286	1.09522	1.09185	1.09347	45005	0	0
2020.04.13	1.09428	1.09676	1.08925	1.09120	88985	0	0
2020.04.14	1.09120	1.09870	1.08987	1.09798	113063	0	0
2020.04.15	1.09794	1.09907	1.08562	1.09066	100896	0	0
2020.04.16	1.09076	1.09111	1.08166	1.08386	123356	0	0
2020.04.17	1.08386	1.08925	1.08119	1.08739	124445	0	0
2020.04.20	1.08625	1.08965	1.08411	1.08607	92579	0	0
2020.04.21	1.08611	1.08801	1.08164	1.08564	107627	0	0
2020.04.22	1.08563	1.08851	1.08032	1.08229	82977	0	0
2020.04.23	1.08226	1.08466	1.07560	1.07760	123060	0	0
2020.04.24	1.07760	1.08257	1.07269	1.08244	100461	0	0
2020.04.27	1.08208	1.08602	1.08112	1.08280	95439	0	0
2020.04.28	1.08275	1.08883	1.08096	1.08182	77049	0	0
2020.04.29	1.08180	1.08855	1.08179	1.08728	74705	0	0
2020.04.30	1.08709	1.09724	1.08328	1.09507	84471	0	0
2020.05.01	1.09485	1.10180	1.09343	1.09802	55528	0	0
2020.05.04	1.09684	1.09743	1.08956	1.09065	54761	0	0
2020.05.05	1.09054	1.09257	1.08257	1.08390	58150	0	0
2020.05.06	1.08397	1.08454	1.07818	1.07929	54033	0	0
2020.05.07	1.07925	1.08339	1.07664	1.08319	60714	0	0
2020.05.08	1.08315	1.08755	1.08150	1.08386	48534	0	0
2020.05.11	1.08240	1.08503	1.08005	1.08060	49534	0	0
2020.05.12	1.08038	1.08852	1.07843	1.08469	54306	0	0
2020.05.13	1.08464	1.08963	1.08115	1.08173	58528	0	0
2020.05.14	1.08167	1.08238	1.07748	1.08042	53197	0	0
2020.05.15	1.08031	1.08505	1.07888	1.08187	50568	0	0
2020.05.18	1.08014	1.09269	1.07998	1.09139	48887	0	0
2020.05.19	1.09145	1.09759	1.09021	1.09217	51091	0	0
2020.05.20	1.09208	1.09989	1.09165	1.09767	46569	0	0
2020.05.21	1.09761	1.10082	1.09372	1.09476	46263	0	0
2020.05.22	1.09458	1.09536	1.08852	1.09022	42958	0	0
2020.05.25	1.08953	1.09144	1.08706	1.08956	26566	0	0
2020.05.26	1.08922	1.09958	1.08919	1.09818	46804	0	0
2020.05.27	1.09814	1.10306	1.09339	1.10026	71978	0	0
2020.05.28	1.09962	1.10934	1.09917	1.10757	64330	0	0
2020.05.29	1.10756	1.11450	1.10669	1.11076	76623	0	0
2020.06.01	1.11150	1.11536	1.11003	1.11343	61548	0	0
2020.06.02	1.11342	1.11957	1.11151	1.11685	69172	0	0
2020.06.03	1.11678	1.12576	1.11665	1.12333	77798	0	0
2020.06.04	1.12321	1.13621	1.11947	1.13365	81076	0	0
2020.06.05	1.13367	1.13837	1.12782	1.12874	79259	0	0
2020.06.08	1.12932	1.13195	1.12682	1.12932	63468	0	0
2020.06.09	1.12933	1.13635	1.12409	1.13389	71617	0	0
2020.06.10	1.13388	1.14222	1.13215	1.13723	78384	0	0
2020.06.11	1.13723	1.14035	1.12886	1.12981	101175	0	0
2020.06.12	1.12933	1.13402	1.12125	1.12604	94092	0	0
2020.06.15	1.12356	1.13323	1.12263	1.13222	90036	0	0
2020.06.16	1.13220	1.13531	1.12276	1.12633	81131	0	0
2020.06.17	1.12628	1.12939	1.12070	1.12426	76433	0	0
2020.06.18	1.12428	1.12612	1.11854	1.12049	72169	0	0
2020.06.19	1.12047	1.12542	1.11681	1.11765	67711	0	0
2020.06.22	1.11819	1.12697	1.11684	1.12593	56787	0	0
2020.06.23	1.12592	1.13483	1.12330	1.13074	72602	0	0
2020.06.24	1.13073	1.13257	1.12483	1.12503	60143	0	0
2020.06.25	1.12503	1.12595	1.11902	1.12170	54121	0	1
2020.06.26	1.12181	1.12391	1.11951	1.12179	40896	0	1
2020.06.29	1.12146	1.12876	1.12146	1.12410	42408	0	1
2020.06.30	1.12412	1.12616	1.11909	1.12336	48612	0	1
2020.07.01	1.12340	1.12749	1.11847	1.12507	45694	0	1
2020.07.02	1.12507	1.13025	1.12231	1.12388	45520	0	1
2020.07.03	1.12391	1.12524	1.12192	1.12482	39847	0	1
2020.07.06	1.12430	1.13455	1.12406	1.13085	43681	0	1
2020.07.07	1.13084	1.13323	1.12587	1.12727	46610	0	0
2020.07.08	1.12674	1.13515	1.12621	1.13292	46420	0	1
2020.07.09	1.13287	1.13706	1.12801	1.12846	53652	0	1
2020.07.10	1.12845	1.13247	1.12548	1.12965	43778	0	1
2020.07.13	1.13015	1.13748	1.13008	1.13435	45838	0	1
2020.07.14	1.13431	1.14085	1.13250	1.13993	53978	0	1
2020.07.15	1.13990	1.14518	1.13910	1.14114	46644	0	1
2020.07.16	1.14113	1.14419	1.13703	1.13834	47684	0	1
2020.07.17	1.13832	1.14437	1.13745	1.14258	36614	0	1
2020.07.20	1.14042	1.14676	1.14021	1.14472	46665	0	1
2020.07.21	1.14470	1.15396	1.14227	1.15265	50733	0	1
2020.07.22	1.15268	1.16009	1.15066	1.15695	57633	0	0
2020.07.23	1.15693	1.16266	1.15402	1.15959	54824	0	1
2020.07.24	1.15957	1.16576	1.15813	1.16549	53672	0	1
2020.07.27	1.16431	1.17811	1.16412	1.17510	59628	0	0
2020.07.28	1.17512	1.17735	1.16986	1.17150	59214	0	1
2020.07.29	1.17148	1.18059	1.17126	1.17906	57617	0	1
2020.07.30	1.17910	1.18480	1.17307	1.18467	62399	0	1
2020.07.31	1.18465	1.19086	1.17613	1.17713	75364	0	1
2020.08.03	1.17697	1.17966	1.16957	1.17617	57376	0	0
2020.08.04	1.17633	1.18060	1.17212	1.18028	55353	0	1
2020.08.05	1.18026	1.19047	1.17929	1.18629	54459	0	0
2020.08.06	1.18627	1.19160	1.18178	1.18762	64120	0	0
2020.08.07	1.18763	1.18827	1.17550	1.17854	61612	0	1
2020.08.10	1.17864	1.18006	1.17359	1.17371	42261	0	1
2020.08.11	1.17373	1.18074	1.17220	1.17395	59065	0	1
2020.08.12	1.17402	1.18165	1.17109	1.17835	58997	0	0
2020.08.13	1.17835	1.18640	1.17796	1.18131	52645	0	1
2020.08.14	1.18126	1.18503	1.17814	1.18413	42080	0	1
2020.08.17	1.18377	1.18810	1.18285	1.18698	39587	0	0
2020.08.18	1.18695	1.19656	1.18655	1.19306	50881	0	1
2020.08.19	1.19302	1.19526	1.18301	1.18385	55642	0	1
2020.08.20	1.18355	1.18685	1.18020	1.18599	57789	0	0
2020.08.21	1.18599	1.18827	1.17542	1.17964	52733	0	1
2020.08.24	1.17929	1.18496	1.17841	1.17873	42510	0	1
2020.08.25	1.17871	1.18436	1.17840	1.18343	47918	0	1
2020.08.26	1.18340	1.18391	1.17721	1.18298	44133	0	1
2020.08.27	1.18297	1.19013	1.17621	1.18217	66444	0	1
2020.08.28	1.18215	1.19196	1.18110	1.19055	62437	0	1
2020.08.31	1.19036	1.19660	1.18839	1.19361	50159	0	1
2020.09.01	1.19358	1.20108	1.19011	1.19113	58939	0	0
2020.09.02	1.19112	1.19285	1.18220	1.18547	53643	0	1
2020.09.03	1.18521	1.18645	1.17887	1.18512	57467	0	1
2020.09.04	1.18513	1.18652	1.17808	1.18394	58184	0	1
2020.09.07	1.18458	1.18485	1.18111	1.18136	31385	0	1
2020.09.08	1.18136	1.18273	1.17654	1.17739	56953	0	1
2020.09.09	1.17747	1.18337	1.17528	1.18027	50318	0	1
2020.09.10	1.18026	1.19174	1.17994	1.18146	60593	0	1
2020.09.11	1.18145	1.18739	1.18086	1.18459	46151	0	1
2020.09.14	1.18362	1.18880	1.18321	1.18643	37436	0	1
2020.09.15	1.18648	1.19004	1.18393	1.18462	38904	0	1
2020.09.16	1.18465	1.18826	1.17873	1.18155	53041	0	1
2020.09.17	1.18146	1.18523	1.17374	1.18476	58356	0	1
2020.09.18	1.18476	1.18703	1.18258	1.18413	45923	0	1
2020.09.21	1.18455	1.18717	1.17316	1.17707	54501	0	1
2020.09.22	1.17700	1.17735	1.16916	1.17077	54507	0	0
2020.09.23	1.17074	1.17189	1.16511	1.16595	53403	0	0
2020.09.24	1.16590	1.16868	1.16264	1.16708	53594	0	0
2020.09.25	1.16706	1.16849	1.16122	1.16296	46422	0	0
2020.09.28	1.16222	1.16799	1.16151	1.16650	39261	0	0
2020.09.29	1.16650	1.17455	1.16609	1.17426	42496	0	0
2020.09.30	1.17430	1.17547	1.16846	1.17210	57876	0	0
2020.10.01	1.17210	1.17694	1.17171	1.17465	57598	0	0
2020.10.02	1.17489	1.17489	1.16957	1.17165	65348	0	0
2020.10.05	1.17131	1.17974	1.17053	1.17825	41921	0	0
2020.10.06	1.17826	1.18076	1.17316	1.17334	50635	0	0
2020.10.07	1.17335	1.17818	1.17248	1.17628	46612	0	0
2020.10.08	1.17624	1.17816	1.17324	1.17582	39212	0	0
2020.10.09	1.17587	1.18304	1.17551	1.18293	40290	0	0
2020.10.12	1.18173	1.18265	1.17866	1.18120	34400	0	0
2020.10.13	1.18120	1.18155	1.17305	1.17446	40707	0	0
2020.10.14	1.17452	1.17712	1.17195	1.17452	41998	0	0
2020.10.15	1.17452	1.17576	1.16882	1.17073	46911	0	0
2020.10.16	1.17073	1.17460	1.16939	1.17160	41654	0	0
2020.10.19	1.17195	1.17936	1.17030	1.17695	38192	0	0
2020.10.20	1.17695	1.18407	1.17598	1.18211	38813	0	0
2020.10.21	1.18214	1.18806	1.18208	1.18598	47267	0	0
2020.10.22	1.18582	1.18667	1.18114	1.18177	41611	0	0
2020.10.23	1.18177	1.18646	1.17867	1.18598	41119	0	0
2020.10.26	1.18551	1.18554	1.18031	1.18087	41221	0	0
2020.10.27	1.18087	1.18387	1.17818	1.17870	37585	0	0
2020.10.28	1.17870	1.17879	1.17178	1.17451	48573	0	0
2020.10.29	1.17451	1.17586	1.16499	1.16740	50814	0	0
2020.10.30	1.16741	1.17040	1.16398	1.16462	50353	0	0
2020.11.02	1.16468	1.16556	1.16221	1.16404	42757	0	0
2020.11.03	1.16406	1.17396	1.16323	1.17150	38341	0	0
2020.11.04	1.17150	1.17704	1.16019	1.17244	91397	0	0
2020.11.05	1.17244	1.18598	1.17108	1.18267	85434	0	0
2020.11.06	1.18272	1.18909	1.17954	1.18746	80267	0	0
2020.11.09	1.18873	1.19200	1.17951	1.18127	102576	0	0
2020.11.10	1.18124	1.18432	1.17798	1.18136	88041	0	0
2020.11.11	1.18138	1.18328	1.17455	1.17771	53264	0	0
2020.11.12	1.17771	1.18231	1.17586	1.18048	57097	0	0
2020.11.13	1.18047	1.18372	1.17989	1.18326	45110	0	0
2020.11.16	1.18400	1.18688	1.18141	1.18516	57741	0	0
2020.11.17	1.18509	1.18939	1.18428	1.18605	43717	0	0
2020.11.18	1.18618	1.18910	1.18491	1.18526	49423	0	0
2020.11.19	1.18526	1.18825	1.18163	1.18745	53540	0	1
2020.11.20	1.18745	1.18909	1.18497	1.18587	44971	0	0
2020.11.23	1.18496	1.19061	1.18000	1.18399	49370	0	0
2020.11.24	1.18399	1.18959	1.18358	1.18904	49664	0	0
2020.11.25	1.18905	1.19298	1.18819	1.19157	56219	0	0
2020.11.26	1.19164	1.19409	1.18853	1.19127	34494	0	0
2020.11.27	1.19125	1.19630	1.19067	1.19593	38264	0	0
2020.11.30	1.19600	1.20034	1.19236	1.19256	57731	0	0
2020.12.01	1.19261	1.20766	1.19253	1.20692	58891	0	0
2020.12.02	1.20691	1.21184	1.20400	1.21136	69133	0	0
2020.12.03	1.21137	1.21746	1.21011	1.21469	74096	0	0
2020.12.04	1.21447	1.21773	1.21100	1.21201	76974	0	0
2020.12.07	1.21299	1.21664	1.20787	1.21091	77841	0	0
2020.12.08	1.21091	1.21340	1.20956	1.21022	71978	0	0
2020.12.09	1.21022	1.21474	1.20585	1.20802	72315	0	0
2020.12.10	1.20789	1.21588	1.20738	1.21398	85474	0	0
2020.12.11	1.21361	1.21628	1.21054	1.21125	71031	0	0
2020.12.14	1.21366	1.21766	1.21156	1.21432	65850	0	0
2020.12.15	1.21432	1.21687	1.21214	1.21505	65615	0	0
2020.12.16	1.21489	1.22124	1.21249	1.21984	76468	0	0
2020.12.17	1.21985	1.22729	1.21897	1.22684	65915	0	0
2020.12.18	1.22676	1.22719	1.22256	1.22542	58548	0	0
2020.12.21	1.22166	1.22528	1.21296	1.22424	103141	0	0
2020.12.22	1.22434	1.22573	1.21520	1.21616	79150	0	0
2020.12.23	1.21618	1.22212	1.21540	1.21860	79543	0	0
2020.12.24	1.21857	1.22157	1.21774	1.21808	47758	0	0
2020.12.28	1.21696	1.22506	1.21696	1.22160	65208	0	0
2020.12.29	1.22160	1.22749	1.22070	1.22482	56037	0	0
2020.12.30	1.22471	1.23099	1.22470	1.22961	66896	0	0
2020.12.31	1.22963	1.23093	1.22127	1.22155	58559	0	0
